"track_guid","artists","remixers","track_name","track_version","release_name","label_name","distributor_name","genre_name","genre_id","chart_name"
"66317b74-8259-46ee-945e-befe1c226185","Folamour, Kio Amachree","Austin Ato","Ivoire feat. Kio Amachree","Austin Ato Remix","Re-Interpretations #1","Classic Music Company","Defected Records (administered by WMG from Q1 2011 on)","Indie Dance / Nu Disco",37,"Staff Picks 2018: Indie Dance/Nu Disco"
"8a53848d-d3d2-45cb-94d0-005c0295d51b","&ME, Adam Port, Jennifer Touch, Rampa","Gerd Janson","Lover Feat. Jennifer Touch","Gerd Janson Remix","You Are Safe Remixes","Keinemusik","Keinemusik","Indie Dance / Nu Disco",37,"Staff Picks 2018: Indie Dance/Nu Disco"
"c8fe20fc-d6bc-45dd-a15f-5a79bfdd6101","Jocelyn Brown, Martha Wash, Todd Terry","Re-Tide","Keep On Jumping","Re-Tide Disco Remix","Keep On Jumping (Re-Tide Disco Remix)","Phoenix Music Inc","Create Music Group","Indie Dance / Nu Disco",37,"Staff Picks 2018: Indie Dance/Nu Disco"
"a5635f17-24b1-40d0-8e19-79a82b7e0d85","Disclosure",NULL,"Love Can Be So Hard","Original Mix","Love Can Be So Hard","Universal-Island Records Ltd.","UMG (Global)","Indie Dance / Nu Disco",37,"Staff Picks 2018: Indie Dance/Nu Disco"
"a0833d1d-6a3f-44f2-82c7-cfb6a19d3363","Younger Rebinds",NULL,"Tim's Symphony","Original Mix","The Sound of Benny EP","Running Back","Wordandsound Medien GmbH","Indie Dance / Nu Disco",37,"Staff Picks 2018: Indie Dance/Nu Disco"
"be744fd1-9db6-4697-8d95-fa89ec51272f","Maars, Maceo Plex",NULL,"Mutant Disco feat. Maars","Original Mix","Mutant 1","Correspondant","!K7 Records GmbH","Indie Dance / Nu Disco",37,"Staff Picks 2018: Indie Dance/Nu Disco"
"3c8ed778-4a9c-40da-bc86-86a9ec9783cc","Doorly",NULL,"Drop The Needle","Original Mix","Nismo's Groove","Reptile Dysfunction","Paradise Entertainment & Distribution GmbH","Indie Dance / Nu Disco",37,"Staff Picks 2018: Indie Dance/Nu Disco"
"bfc75335-8c7d-4318-a0ef-9dd432205005","Soul Clap",NULL,"Moov To Tha Beat","Original Mix","Think Sideways Edits, Vol. 1","Reptile Dysfunction","Paradise Entertainment & Distribution GmbH","Indie Dance / Nu Disco",37,"Staff Picks 2018: Indie Dance/Nu Disco"
"69bbd251-667d-4ff5-bb9e-0c98ea097767","Hot Hot Hawk",NULL,"Bang! Bang! Like Tackleberry","Original Mix","Legendary","Nang","MRC Holdings","Indie Dance / Nu Disco",37,"Staff Picks 2018: Indie Dance/Nu Disco"
"09658b58-e224-47a2-9cfd-3ea11dd32dd6","Purple Disco Machine",NULL,"Dished (Male Stripper)","Extended Mix","Dished (Male Stripper) [Extended Mix]","Club Sweat","Xelon Entertainment","Indie Dance / Nu Disco",37,"Staff Picks 2018: Indie Dance/Nu Disco"
